X,Y,ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,wptx1_Wayp,layer,path
44.173233,-20.783559,62.112839000000001,2019/03/04 12:20:05.000,,,3 022701,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.173316,-20.783626,60.753670000000000,2019/03/04 12:27:05.000,,,3 011804,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.173855,-20.783258,52.977203000000003,2019/03/04 12:31:57.000,,,3 011805,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.174213,-20.783331,57.893715000000000,2019/03/04 12:36:28.000,,,3 013105,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.17457,-20.782983,65.316215999999997,2019/03/04 12:44:16.000,,,3 013104,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.17524,-20.782968,64.687881000000004,2019/03/04 12:49:59.000,,,3 013103,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.175471,-20.783006,62.905997999999997,2019/03/04 12:56:47.000,,,3 013102,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.175569,-20.782997,62.329441000000003,2019/03/04 12:58:00.000,,,3 012001,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.177683,-20.78088,34.410912000000003,2019/02/05 03:46:08.000,,,005,CT 5 HH31,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-FEB-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-FEB-19.gpx|layername=waypoints
44.177443,-20.781027,55.640137000000003,2019/02/05 03:59:29.000,,,006,CT 6 HH31,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-FEB-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-FEB-19.gpx|layername=waypoints
44.177711,-20.780767,52.317574000000000,2019/02/05 04:13:44.000,,,007,CT 7 II32,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-FEB-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-FEB-19.gpx|layername=waypoints
44.175153,-20.783754,,2019/03/05 02:26:18.000,,,6 030202,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.171253,-20.779662,58.327244000000000,2019/03/05 02:33:07.000,,,6 030204,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.171243,-20.77961,56.979244000000001,2019/03/05 02:34:09.000,,,6 030202,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.171258,-20.779633,56.518203999999997,2019/03/05 02:35:01.000,,,6 030201,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.17125,-20.779649,63.856662999999998,2019/03/05 03:05:13.000,,,6 030203,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.171253,-20.779667,68.410126000000005,2019/03/05 03:09:13.000,,,6 030501,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.171221,-20.779517,64.900604000000001,2019/03/05 03:31:14.000,,,6 020501,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.171318,-20.779142,,2019/03/05 09:28:56.000,,,2 030501,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.174529,-20.785814,68.292679000000007,2019/03/05 09:40:03.000,,,2 030501,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.172636,-20.786449,65.201210000000003,2019/03/05 09:51:56.000,,,2 021303,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.172273,-20.786287,59.176459999999999,2019/03/05 09:56:52.000,,,2 021304,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
44.171844,-20.786399,60.469982000000002,2019/03/05 09:59:37.000,,,2 022501,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_05-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_05-MAR-19.gpx|layername=waypoints
